Date,League,Home Team,Away Team,Channel,Network,iptv,Status
"Feb 2, 2025",NCAAB,Tulane,Tulsa,ESPNU,National,wstr,No Game
"Feb 2, 2025",NBA,Detroit Pistons,Chicago Bulls,FDSN DET,Home,wstr,Complete
"Feb 2, 2025",NHL,Colorado Avalanche,Philadelphia Flyers,ALT,Home,wstr,Complete
"Feb 2, 2025",NHL,Colorado Avalanche,Philadelphia Flyers,NBCSP+,Away,wstr,No Game
"Feb 2, 2025",NBA,Cleveland Cavaliers,Dallas Mavericks,FDSN OH,Home,wstr,No Game
"Feb 2, 2025",NBA,Toronto Raptors,Los Angeles Clippers,TSN1,Home,wstr,No Game
"Feb 2, 2025",NBA,Anaheim Ducks,Montréal Canadiens,TSN2,Away,wstr,Wrong Game
"Feb 2, 2025",NBA,Toronto Raptors,Los Angeles Clippers,TSN3,Home,wstr,No Game
"Feb 2, 2025",NHL,Anaheim Ducks,Montréal Canadiens,TSN2,Away,wstr,Complete
"Feb 2, 2025",NBA,Philadelphia 76ers,Boston Celtics,NBCSP,Home,wstr,Complete
"Feb 2, 2025",NHL,Dallas Stars,Columbus Blue Jackets,FDSN OH,Away,wstr,No Game
"Feb 2, 2025",NHL,Florida Panthers,New York Islanders,SCRIPPS,Home,wstr,No Game
"Feb 2, 2025",NHL,Florida Panthers,New York Islanders,MSGSN,Away,wstr,Complete
"Feb 2, 2025",NHL,New York Rangers,Vegas Golden Knights,MSG,Home,wstr,Complete
"Feb 2, 2025",NHL,New York Rangers,Vegas Golden Knights,SCRIPPS,Away,wstr,No Game
"Feb 2, 2025",NHL,Utah Hockey Club,St. Louis Blues,FDSN MW,Away,wstr,Wrong Game
"Feb 2, 2025",NHL,Vancouver Canucks,Detroit Red Wings,SNP,Home,wstr,Complete
"Feb 2, 2025",NHL,Vancouver Canucks,Detroit Red Wings,FDSN DET,Away,wstr,Complete
"Feb 3, 2025",NBA,Detroit Pistons,Atlanta Hawks,FDSN SE-CHA,,wstr,Wrong Game
"Feb 3, 2025",NBA,Charlotte Hornets,Washington Wizards,Monumental Sports Network,Away,wstr,Complete
"Feb 3, 2025",NBA,Detroit Pistons,Atlanta Hawks,FDSN DET,Home,wstr,Complete
"Feb 3, 2025",NBA,Detroit Pistons,Atlanta Hawks,FDSN SE-ATL,Away,wstr,Complete
"Feb 3, 2025",NBA,New York Knicks,Houston Rockets,MSG,Home,wstr,Complete
"Feb 3, 2025",NBA,New York Knicks,Houston Rockets,Space City Home Network,Away,wstr,Complete
"Feb 3, 2025",NBA,New York Knicks,Houston Rockets,NBA TV,National,wstr,Complete
"Feb 3, 2025",NHL,Nashville Predators,Ottawa Senators,FDSN South,Home,wstr,No Game
"Feb 3, 2025",NHL,Nashville Predators,Ottawa Senators,TSN5,Away,wstr,No Game
"Feb 3, 2025",NBA,Memphis Grizzlies,San Antonio Spurs,FDSN SE-MEM,Home,wstr,No Game
"Feb 3, 2025",NBA,Memphis Grizzlies,San Antonio Spurs,FDSN SW-SA,Away,wstr,No Game
"Feb 3, 2025",NBA,Minnesota Timberwolves,Sacramento Kings,FDSN North,Home,wstr,No Game
"Feb 3, 2025",NBA,Minnesota Timberwolves,Sacramento Kings,NBCSCA,Away,wstr,No Game
"Feb 3, 2025",NBA,Oklahoma City Thunder,Milwaukee Bucks,FDSN OK,Home,wstr,Complete
"Feb 3, 2025",NBA,Oklahoma City Thunder,Milwaukee Bucks,FDSN WI,Away,wstr,No Game
"Feb 4, 2025",NBA,Cleveland Cavaliers,Boston Celtics,FDSN OH,Home,wstr,No Game
"Feb 4, 2025",NBA,Cleveland Cavaliers,Boston Celtics,NBC Sports Boston,Away,wstr,Complete
